feature,xgb,lgbm,cat,weighted
feature_99,0.026984854,155,6.771879752124627,42.215847961809565
feature_101,0.0115659,103,2.863152395079413,27.644824467963794
feature_96,0.0040537887,99,1.9577912033131402,26.372089681082013
feature_100,0.011378548,74,1.4975690382137794,19.723181175787847
feature_103,0.030509407,69,4.6501013177991295,19.204043283891377
feature_104,0.011680201,62,4.4714072349021174,17.324412168243303
feature_105,0.1269945,53,11.390776410145433,16.720701843685497
feature_183,0.0024515358,58,0.195002872076982,15.213865787410837
feature_145,0.0076090484,53,1.0088273933301997,14.110081601660925
feature_27,0.0052358904,47,0.418017126592428,12.3939249014347
feature_31,0.004728672,47,0.2000056386427758,12.339636625808746
feature_290,0.0035544673,44,0.6737149859966108,11.672606753185233
feature_109,0.0042544017,43,1.2027175084253734,11.542733711802097
feature_33,0.007816447,39,2.7852487583540158,10.890930322822943
feature_30,0.0027382416,41,0.19881162531595797,10.770040304304413
feature_276,0.0074799214,39,0.3736727389847948,10.29181419844452
feature_37,0.0046217744,37,1.9811664476995676,10.167425498032696
feature_182,0.008549243,38,0.8850708230809496,10.157666617610863
feature_277,0.0036546355,38,0.5522984163193205,10.073704150983835
feature_317,0.0027984937,37,0.2802303482023781,9.744433890910441
feature_4,0.0035183986,36,0.11482920069128609,9.44207887111525
feature_275,0.004700252,34,0.8843289925274677,9.110611114376272
feature_8,0.002266222,34,0.8734802402676354,9.107268340473167
feature_239,0.00438471,34,0.33424308772987715,8.973887813506968
feature_301,0.0023803848,34,0.21306935656086368,8.943255119717529
feature_14,0.020339059,32,0.7980839947370205,8.570428237157792
feature_165,0.009522916,31,0.5362038588964654,8.241037084065809
feature_107,0.009089698,26,5.12391947620701,8.073185087357228
feature_303,0.002184807,30,0.31677940875842503,7.923117683124338
feature_313,0.0020868974,30,0.20661528064305323,7.895727257071801
feature_233,0.013046251,28,0.4901224047405799,7.446143677465461
feature_39,0.0080775935,25,3.5874270675889153,7.429794992444322
feature_28,0.0021992475,28,0.41461024686884834,7.424499063494856
feature_173,0.0013962402,28,0.013946247416109829,7.324761837223227
feature_55,0.007341793,24,4.165241852996749,7.3116645166851955
feature_110,0.008210403,27,0.7502513019134289,7.248009696942847
feature_175,0.004867776,26,0.6792542004853256,6.968022770403851
feature_88,0.003244917,26,0.4288761899054658,6.905397766294933
feature_278,0.0031354616,26,0.3933142640934202,6.89653517688718
feature_210,0.0039512003,26,0.26587200358728325,6.865096156999723
feature_222,0.0074695055,25,0.0,6.538529535581824
feature_333,0.0018914958,24,0.14357794133838747,6.311247152974397
feature_331,0.00074242527,24,0.09613392980435445,6.299156332575796
feature_1,0.0058478327,21,2.915098446101972,6.2163508914246535
feature_20,0.008798251,23,0.7716570819330303,6.207636747176528
feature_300,0.003217795,23,0.18683184657065874,6.0608827074297045
feature_280,0.0023923188,23,0.03692948819619019,6.023427760732707
feature_73,0.0004302255,22,0.6604905002901759,5.916334016128397
feature_295,0.0016233381,22,0.12454133124965305,5.7835238599397
feature_319,0.002074085,22,0.09108999467996508,5.775334669215675
feature_140,0.0035482862,21,0.27871780695258525,5.560871540822593
feature_322,0.0040628365,21,0.19177075591288523,5.539411198842088
feature_297,0.0023474693,21,0.18120443288513585,5.5363299007923725
feature_257,0.0026349172,21,0.1624620701722254,5.531750891361442
feature_43,0.011637329,20,1.098395051493931,5.505168140049146
feature_286,0.0024787537,21,0.0,5.491354342343603
feature_168,0.004386539,20,0.27639017153735634,5.2990548827607515
feature_281,0.0007538238,20,0.0,5.2294334933285604
feature_44,0.00625125,17,2.5746456963597706,5.086044526557731
feature_327,0.0022978866,19,0.3018904808027836,5.043371386282543
feature_268,0.0039021582,19,0.19253376073074382,5.0166346697366615
feature_279,0.002015678,19,0.1279545535814508,5.00009121813666
feature_3,0.0,17,1.6891873272368785,4.86443575409241
feature_335,0.002015816,18,0.3222957050615637,4.786903235281641
feature_161,0.008061011,18,0.29893204135436047,4.782709131360507
feature_308,0.0018535559,18,0.2496737385373751,4.76882101159758
feature_296,0.0018602218,18,0.21778461762848822,4.76090164686474
feature_213,0.003752275,17,0.3886455160102616,4.5423849192367625
feature_241,0.0013771462,17,0.22207032007119482,4.500375955163692
feature_178,0.0027565977,17,0.2184888661327463,4.49985357091946
feature_149,0.0033875671,17,0.10693216126652678,4.472311275202187
feature_338,0.0015962725,17,0.03403892684237894,4.453727990257461
feature_251,0.0019454459,17,0.0,4.4453658036009225
feature_64,0.003484885,16,0.4885552974571374,4.305669313478229
feature_98,0.0003011876,16,0.11416590569833139,4.211824818242243
feature_85,0.003242351,16,0.0,4.184249423342422
feature_180,0.0016563513,16,0.0,4.18382720065712
feature_166,0.0033398364,15,0.31600434063894434,4.00130804080957
feature_152,0.002715559,15,0.2960064251756945,3.9961744385879774
feature_21,0.0057321084,15,0.17360871177414558,3.966574362319734
feature_273,0.0016247868,15,0.11090967439220559,3.949906708615458
feature_167,0.011719948,15,0.08075557328555165,3.9451040613194057
feature_302,0.0010186259,15,0.06322530203885782,3.9379007161736954
feature_144,0.0017422526,15,0.016284712385419838,3.9264334907572387
feature_127,0.0058398005,15,0.0,3.9234792720881293
feature_66,0.0021159628,14,0.10418938968401543,3.6869065344510203
feature_298,0.002227296,14,0.06009906135316635,3.6759842994234364
feature_125,0.004022258,14,0.0,3.661533767879531
feature_288,0.0010997731,14,0.0,3.660755748043824
